Period,SalesMwh,Numcust,YD87,Pricelec,Aircnsat,Degreday,Thib65,Thib75,salesmw2,numcust2,Yd872,priclec2,aircnst2,degrday2,Thi652,Thi752
"""3rd Quarter, 1980""",1202514,727192.1875,2711.907959,6.798621178,0.680000007,-0.974099994,-7.402890205,-0.332679987,1202514,727192.1875,2711.907959,6.798621178,0.680000007,-0.974099994,-7.402890205,-0.332679987
"""4th Quarter, 1980""",1174335,729230,2756.631104,6.310081005,0.680000007,-57.32049942,-4.792739868,-0.037,1174335,729230,2756.631104,6.310081005,0.680000007,-57.32049942,-4.792739868,-0.037
"""1st Quarter, 1981""",1153768,731584.8125,2757.516113,6.072810173,0.670000017,-361.4030151,0,0,1153768,731584.8125,2757.516113,6.072810173,0.670000017,-361.4030151,0,0
"""2nd Quarter, 1981""",1161765,734456.125,2747.925049,6.137355804,0.670000017,-192.3619995,-33.36970139,-0.280499995,1161765,734456.125,2747.925049,6.137355804,0.670000017,-192.3619995,-33.36970139,-0.280499995
"""3rd Quarter, 1981""",1142861,737848.375,2771.016113,6.452070236,0.670000017,-1.553449988,-101.5490036,-11.26350021,1142861,737848.375,2771.016113,6.452070236,0.670000017,-1.553449988,-101.5490036,-11.26350021
"""4th Quarter, 1981""",1196624,739085.5,2750.860107,6.464004993,0.670000017,-167.8130035,-5.604239941,-0.037,1196624,739085.5,2750.860107,6.464004993,0.670000017,-167.8130035,-5.604239941,-0.037
"""1st Quarter, 1982""",1236469,740332.125,2741.878906,6.507047176,0.660000026,551.5913086,0,0,1236469,740332.125,2741.878906,6.507047176,0.660000026,551.5913086,0,0
"""2nd Quarter, 1982""",1188673,741904.5,2761.831055,6.512829781,0.660000026,55.21052933,-32.3205986,-0.280499995,1188673,741904.5,2761.831055,6.512829781,0.660000026,55.21052933,-32.3205986,-0.280499995
"""3rd Quarter, 1982""",1181075,743468.625,2780.071045,6.915777206,0.660000026,-1.683500051,9.836000443,-1.303500056,1181075,743468.625,2780.071045,6.915777206,0.660000026,-1.683500051,9.836000443,-1.303500056
"""4th Quarter, 1982""",1203114,743895.6875,2793.725098,6.264706135,0.660000026,-159.8399963,2.066919088,-0.037,1203114,743895.6875,2793.725098,6.264706135,0.660000026,-159.8399963,2.066919088,-0.037
"""1st Quarter, 1983""",1168516,745210.375,2797.441895,6.368605137,0.649999976,-610.2630005,0,0,1168516,745210.375,2797.441895,6.368605137,0.649999976,-610.2630005,0,0
"""2nd Quarter, 1983""",1224423,748664.375,2837.529053,6.329907894,0.649999976,114.5607986,-22.18899918,0.279031008,1224423,748664.375,2837.529053,6.329907894,0.649999976,114.5607986,-22.18899918,0.279031008
"""3rd Quarter, 1983""",1417430,751690.625,2877.25708,6.715085983,0.649999976,2.386499882,233.6060028,16.15649986,1417430,751690.625,2877.25708,6.715085983,0.649999976,2.386499882,233.6060028,16.15649986
"""4th Quarter, 1983""",1255205,755482.875,2934.653076,6.16968298,0.649999976,97.48188019,10.79827023,-0.037,1255205,755482.875,2934.653076,6.16968298,0.649999976,97.48188019,10.79827023,-0.037
"""1st Quarter, 1984""",1251512,758648.625,2992.048096,6.123745918,0.649999976,252.0175934,0,0,1251512,758648.625,2992.048096,6.123745918,0.649999976,252.0175934,0,0
"""2nd Quarter, 1984""",1245558,762147.6875,3017.881104,6.24315691,0.649999976,29.39216995,-8.270709991,-0.280499995,1245558,762147.6875,3017.881104,6.24315691,0.649999976,29.39216995,-8.270709991,-0.280499995
"""3rd Quarter, 1984""",1250784,765717.8125,3046.906982,6.616812229,0.649999976,0.495584995,-11.41679955,-7.714990139,1250784,765717.8125,3046.906982,6.616812229,0.649999976,0.495584995,-11.41679955,-7.714990139
"""4th Quarter, 1984""",1249095,769506,3068.4021,6.209002018,0.649999976,-26.10820007,-7.415299892,-0.037,1249095,769506,3068.4021,6.209002018,0.649999976,-26.10820007,-7.415299892,-0.037
"""1st Quarter, 1985""",1312893,772814.6875,3068.489014,6.079395771,0.649999976,136.1096039,0,0,1312893,772814.6875,3068.489014,6.079395771,0.649999976,136.1096039,0,0
"""2nd Quarter, 1985""",1265214,775306.5,3139.219971,5.971247196,0.649999976,-111.2099991,-15.60459995,-0.280499995,1265214,775306.5,3139.219971,5.971247196,0.649999976,-111.2099991,-15.60459995,-0.280499995
"""3rd Quarter, 1985""",1164233,778472.125,3118.569092,6.152656078,0.649999976,1.793580055,-81.5007019,-10.28429985,1164233,778472.125,3118.569092,6.152656078,0.649999976,1.793580055,-81.5007019,-10.28429985
"""4th Quarter, 1985""",1353450,781597.8125,3149.667969,6.179309845,0.649999976,377.5190125,11.61600018,-0.037,1353450,781597.8125,3149.667969,6.179309845,0.649999976,377.5190125,11.61600018,-0.037
"""1st Quarter, 1986""",1326246,784178.3125,3203.645996,6.19389677,0.649999976,157.2001953,0,0,1326246,784178.3125,3203.645996,6.19389677,0.649999976,157.2001953,0,0
"""2nd Quarter, 1986""",1315246,786378.125,3244.00708,6.36528492,0.649999976,-142.2100067,-6.243589878,0.550195992,1315246,786378.125,3244.00708,6.36528492,0.649999976,-142.2100067,-6.243589878,0.550195992
"""3rd Quarter, 1986""",1273940,788925,3241.35791,6.742310047,0.649999976,-1.683500051,-35.85150146,1.450482011,1273940,788925,3241.35791,6.742310047,0.649999976,-1.683500051,-35.85150146,1.450482011
"""4th Quarter, 1986""",1347165,792406.625,3233.912109,5.488428116,0.649999976,6.12840414,-3.486929893,-0.037,1347165,792406.625,3233.912109,5.488428116,0.649999976,6.12840414,-3.486929893,-0.037
"""1st Quarter, 1987""",1312368,797234.375,3281.241943,5.50643301,0.714999974,-817.4500122,0,0,1312368,797234.375,3281.241943,5.50643301,0.714999974,-817.4500122,0,0
"""2nd Quarter, 1987""",1407748,801582.125,3240.200928,5.714084148,0.714999974,-187.3860016,56.65486908,-0.280499995,1407748,801582.125,3240.200928,5.714084148,0.714999974,-187.3860016,56.65486908,-0.280499995
"""3rd Quarter, 1987""",1446050,806487.5,3292.456055,6.429467201,0.714999974,-1.683500051,53.73611832,10.35558033,1446050,806487.5,3292.456055,6.429467201,0.714999974,-1.683500051,53.73611832,10.35558033
"""4th Quarter, 1987""",1365919,811838,3349.704102,5.214097023,0.714999974,-208.1990051,-2.101520061,-0.037,1365919,811838,3349.704102,5.214097023,0.714999974,-208.1990051,-2.101520061,-0.037
"""1st Quarter, 1988""",1434809,816995.375,3385.73291,5.726053238,0.779999971,112.5856018,0,0,1434809,816995.375,3385.73291,5.726053238,0.779999971,112.5856018,0,0
"""2nd Quarter, 1988""",1483324,821321.6875,3398.772949,5.966699123,0.779999971,-69.23519897,61.62070847,1.468034029,1483324,821321.6875,3398.772949,5.966699123,0.779999971,-69.23519897,61.62070847,1.468034029
"""3rd Quarter, 1988""",1630902,823635.3125,3421.275879,6.649409771,0.779999971,-1.673499942,144.0559998,29.65649986,1630902,823635.3125,3421.275879,6.649409771,0.779999971,-1.673499942,144.0559998,29.65649986
"""4th Quarter, 1988""",1423272,826774.5,3462.717041,5.540062904,0.779999971,32.24610138,-0.062700003,-0.037,1423272,826774.5,3462.717041,5.540062904,0.779999971,32.24610138,-0.062700003,-0.037
"""1st Quarter, 1989""",1481608,830742.1875,3489.241943,5.26442194,0.800000012,153.9519043,0,0,1481608,830742.1875,3489.241943,5.26442194,0.800000012,153.9519043,0,0
"""2nd Quarter, 1989""",1365191,835710,3476.687988,5.557816982,0.800000012,95.39839172,-18.72060013,-0.280499995,1365191,835710,3476.687988,5.557816982,0.800000012,95.39839172,-18.72060013,-0.280499995
"""3rd Quarter, 1989""",1473868,837880.375,3478.826904,6.078520775,0.800000012,-0.588440001,38.72800064,0.370240986,1473868,837880.375,3478.826904,6.078520775,0.800000012,-0.588440001,38.72800064,0.370240986
"""4th Quarter, 1989""",1459354,840545.375,3509.809082,5.308506966,0.800000012,174.6011963,2.968225956,-0.037,1459354,840545.375,3509.809082,5.308506966,0.800000012,174.6011963,2.968225956,-0.037
"""1st Quarter, 1990""",1451074,843213.3125,3563.852051,5.494768143,0.819999993,-391.7650146,0,0,1451074,843213.3125,3563.852051,5.494768143,0.819999993,-391.7650146,0,0
"""2nd Quarter, 1990""",1431153,846455.1875,3568.051025,5.729074001,0.819999993,45.83837891,-9.319829941,-0.260520011,1431153,846455.1875,3568.051025,5.729074001,0.819999993,45.83837891,-9.319829941,-0.260520011
"""3rd Quarter, 1990""",1481957,849328.875,3579.456055,6.223198891,0.819999993,-0.863839984,15.86178017,-6.755390167,1481957,849328.875,3579.456055,6.223198891,0.819999993,-0.863839984,15.86178017,-6.755390167
"""4th Quarter, 1990""",1477808,852027.5,3594.659912,5.396522045,0.819999993,-238.5599976,10.57723045,-0.037,1477808,852027.5,3594.659912,5.396522045,0.819999993,-238.5599976,10.57723045,-0.037
"""1st Quarter, 1991""",1496545,854161.375,3588.219971,4.837341785,0.825500011,-12.09049988,0,0,1496545,854161.375,3588.219971,4.837341785,0.825500011,-12.09049988,0,0
"""2nd Quarter, 1991""",1577201,856016.875,3600.990967,5.142207146,0.825500011,-35.29869843,72.63976288,0.639886022,1577201,856016.875,3600.990967,5.142207146,0.825500011,-35.29869843,72.63976288,0.639886022
"""3rd Quarter, 1991""",1571087,859159.1875,3598.569092,5.739265919,0.825500011,5.100801945,29.27630043,5.572360039,1571087,859159.1875,3598.569092,5.739265919,0.825500011,5.100801945,29.27630043,5.572360039
"""4th Quarter, 1991""",1535812,862214.375,3622.092041,4.807519913,0.825500011,278.5090027,2.905999899,-0.037,1535812,862214.375,3622.092041,4.807519913,0.825500011,278.5090027,2.905999899,-0.037
"""1st Quarter, 1992""",1447727,864473.8125,3670.650879,4.659716129,0.83099997,-674.3699951,0,0,1447727,864473.8125,3670.650879,4.659716129,0.83099997,-674.3699951,0,0
"""2nd Quarter, 1992""",1467540,867564.375,3697.788086,5.094172955,0.83099997,93.91809082,-12.43719959,-0.280499995,1467540,867564.375,3697.788086,5.094172955,0.83099997,93.91809082,-12.43719959,-0.280499995
"""3rd Quarter, 1992""",1251932,870277.125,3715.904053,5.612442017,0.83099997,-0.766960025,-239.9850006,-8.972160339,1251932,870277.125,3715.904053,5.612442017,0.83099997,-0.766960025,-239.9850006,-8.972160339
"""4th Quarter, 1992""",1517830,873325.125,3821.842041,4.913864136,0.83099997,18.18445015,-3.910069942,-0.037,1517830,873325.125,3821.842041,4.913864136,0.83099997,18.18445015,-3.910069942,-0.037
"""1st Quarter, 1993""",1520665,876649.1875,3741.426025,5.17602396,0.828000009,32.90662003,0,0,1520665,876649.1875,3741.426025,5.17602396,0.828000009,32.90662003,0,0
"""2nd Quarter, 1993""",1467245,879030.6875,3791.400879,5.335494041,0.828000009,28.37302017,-32.50040054,-0.280499995,1467245,879030.6875,3791.400879,5.335494041,0.828000009,28.37302017,-32.50040054,-0.280499995
"""3rd Quarter, 1993""",1467914,881217.1875,3799.936035,5.825115204,0.828000009,1.566499949,-88.5739975,-10.55350018,1467914,881217.1875,3799.936035,5.825115204,0.828000009,1.566499949,-88.5739975,-10.55350018
"""4th Quarter, 1993""",1522997,882424.6875,3849.802979,5.119795799,0.828000009,-26.26259995,-9.422450066,-0.037,1522997,882424.6875,3849.802979,5.119795799,0.828000009,-26.26259995,-9.422450066,-0.037
"""1st Quarter, 1994""",1559529,886033.375,3866.202881,5.0389328,0.824999988,381.7101135,0,0,,,,,,,,
"""2nd Quarter, 1994""",1537111,888848.375,3902.694092,5.358486176,0.824999988,-7.55685997,2.700094938,0.858545005,,,,,,,,
"""3rd Quarter, 1994""",1521709,890627.1875,3944.916016,5.998418808,0.824999988,-1.413499951,-88.7440033,-10.4034996,,,,,,,,
"""4th Quarter, 1994""",1558439,892665.875,4020.403076,5.136853218,0.824999988,-305.7430115,9.679199219,-0.037,,,,,,,,
"""1st Quarter, 1995""",1538382,897859.375,4066.486084,4.976228237,0.831945002,-295.57901,0,0,,,,,,,,
