county;year;crmrte;prbarr;prbconv;prbpris;avgsen;polpc;density;taxpc;west;central;urban;pctmin80;wcon;wtuc;wtrd;wfir;wser;wmfg;wfed;wsta;wloc;mix;pctymle;d82;d83;d84;d85;d86;d87;lcrmrte;lprbarr;lprbconv;lprbpris;lavgsen;lpolpc;ldensity;ltaxpc;lwcon;lwtuc;lwtrd;lwfir;lwser;lwmfg;lwfed;lwsta;lwloc;lmix;lpctymle;lpctmin;clcrmrte;clprbarr;clprbcon;clprbpri;clavgsen;clpolpc;cltaxpc;clmix
3;84;0,013662;0,194986;0,885714;0,5;8,01;0,000609;1,015444;21,395571;0;1;0;7,91632;219,084717;340,659332;162,266464;263,647644;228,592163;255,220001;376,529999;288,049988;242,050003;0,058997;0,085499;0;0;1;0;0;0;-4,29313;-1,634827;-0,121361;-0,693147;2,080691;-7,403857;0,015326;3,063184;5,389459;5,830883;5,08924;5,574614;5,43194;5,542126;5,930998;5,663134;5,489144;-2,830268;-2,459247;2,068926;-0,103323;0,071198;-0,149142;0,131577;-0,081482;-0,078554;0,105056;-0,010514
3;85;0,012035;0,206897;0,909091;0,366667;8,59;0,000641;1,030888;24,036367;0;1;0;7,91632;2324,598389;338,723785;173,16806;250,156342;257,654968;262,059998;411,230011;312,799988;262,839996;0,085034;0,084861;0;0;0;1;0;0;-4,41997;-1,575534;-0,09531;-1,003301;2,150599;-7,351951;0,030421;3,179568;7,751303;5,825185;5,154263;5,522086;5,551621;5,568573;6,019153;5,745564;5,571546;-2,464704;-2,466741;2,068926;-0,12684;0,059293;0,026051;-0,310154;0,069908;0,051906;0,116384;0,365564
3;86;0,012998;0,156069;1,03704;0,392857;6,03;0,000676;1,034749;26,599594;0;1;0;7,91632;241,545898;336,810089;181,673172;260,756195;228,161667;279,380005;420,769989;334,720001;279,25;0,051672;0,083637;0;0;0;0;1;0;-4,342945;-1,857457;0,03637;-0,93431;1,796747;-7,299007;0,034159;3,280896;5,48706;5,819519;5,202209;5,563586;5,430055;5,632573;6,042086;5,813294;5,632107;-2,962844;-2,481269;2,068926;0,077025;-0,281923;0,131681;0,068991;-0,353852;0,052944;0,101328;-0,49814
3;87;0,015253;0,132029;1,48148;0,45;6,35;0,000746;1,046332;26,892078;0;1;0;7,91632;255,102036;376,254181;196,010101;258,564972;192,307693;300,380005;409,829987;362,959991;301,470001;0,030227;0,082607;0;0;0;0;0;1;-4,182966;-2,024734;0,393042;-0,798508;1,848455;-7,200946;0,045291;3,291832;5,541664;5,930265;5,278166;5,555147;5,259097;5,705049;6,015742;5,894293;5,708671;-3,49903;-2,493662;2,068926;0,159979;-0,167277;0,356671;0,135802;0,051708;0,098061;0,010936;-0,536185
5;81;0,009337;0,406593;0,27027;0,5;5,53;0,000821;0,412766;18,630598;1;0;0;3,16053;147,929001;284,900299;143,513199;200,320511;158,227844;157,240005;318,959991;233,330002;191,979996;0,083333;0,073853;0;0;0;0;0;0;-4,673753;-0,899943;-1,308334;-0,693147;1,710188;-7,10517;-0,884875;2,924805;4,996732;5,652139;4,966427;5,299919;5,064036;5,057773;5,765066;5,452454;5,257391;-2,484907;-2,605685;1,15074;;;;;;;;
5;82;0,012323;0,38;0,736842;0,392857;9,7;0,001356;0,417021;19,522532;1;0;0;3,16053;147,929001;343,406586;160,752563;213,675217;166,70636;164,619995;314,609985;247,589996;188,479996;0,020408;0,073795;1;0;0;0;0;0;-4,396296;-0,967584;-0,305382;-0,93431;2,272126;-6,603578;-0,874618;2,971569;4,996732;5,838915;5,079866;5,364457;5,116234;5,10364;5,751334;5,511774;5,238992;-3,89182;-2,606468;1,15074;0,277457;-0,067641;1,002952;-0,241162;0,561938;0,501593;0,046764;-1,406914
5;83;0,012806;0,561905;0,559322;0,272727;6,34;0,001342;0,417021;19,243347;1;0;0;3,16053;169,683258;2109,181152;165,950806;196,232346;174,82518;178,169998;330,5;250,169998;202,070007;0,3125;0,073874;0;1;0;0;0;0;-4,35781;-0,576422;-0,58103;-1,299284;1,846879;-6,61387;-0,874618;2,957165;5,133934;7,654055;5,111691;5,279299;5,163786;5,182738;5,800607;5,522141;5,308614;-1,163151;-2,605394;1,15074;0,038486;0,391162;-0,275648;-0,364974;-0,425247;-0,010293;-0,014404;2,72867
5;84;0,01383;0,666667;0,447368;0,411765;5,72;0,001334;0,417021;24,153919;1;0;0;3,16053;183,946487;328,3302;167,224075;209,030106;180,995468;192,169998;340,429993;259,48999;210,559998;0,163265;0,073863;0;0;1;0;0;0;-4,280922;-0,405465;-0,804374;-0,887302;1,743969;-6,619221;-0,874618;3,184447;5,214645;5,79402;5,119335;5,342478;5,198472;5,25838;5,83021;5,558718;5,349771;-1,812379;-2,605542;1,15074;0,076888;0,170958;-0,223344;0,411982;-0,10291;-0,005351;0,227281;-0,649228
5;85;0,012475;0,60396;0,180328;0,545455;10,04;0,001482;0,412766;27,503681;1;0;0;3,16053;204,91803;254,524887;200,156982;218,531464;190,625702;192,600006;373,059998;277,23999;242,610001;0,278481;0,073643;0;0;0;1;0;0;-4,384005;-0,504247;-1,712978;-0,606135;2,306577;-6,514221;-0,884875;3,31432;5,32261;5,539399;5,299102;5,38693;5,250312;5,260615;5,921739;5,624884;5,491455;-1,278405;-2,608526;1,15074;-0,103082;-0,098783;-0,908604;0,281167;0,562608;0,105;0,129873;0,533973
5;86;0,014239;0,695652;0,270833;0,269231;5,12;0,001135;0,412766;43,606216;1;0;0;3,16053;212,201599;302,197815;215,415955;240,384613;196,350189;216,690002;383,779999;399,690002;267,170013;0,408163;0,072817;0;0;0;0;1;0;-4,251806;-0,362906;-1,306253;-1,312186;1,633154;-6,781158;-0,884875;3,7752;5,357537;5,711082;5,372571;5,48224;5,2799;5,378468;5,950069;5,990689;5,587885;-0,896088;-2,619806;1,15074;0,132199;0,141342;0,406725;-0,706051;-0,673423;-0,266937;0,46088;0,382317
5;87;0,01296;0,444444;0,267857;0,6;6,76;0,001234;0,412766;34,816051;1;0;0;3,16053;226,94696;372,208435;229,320892;305,944061;209,69722;237,649994;358,980011;331,529999;281,369995;0,465116;0,072115;0;0;0;0;0;1;-4,345864;-0,810931;-1,317302;-0,510826;1,911023;-6,697243;-0,884875;3,550079;5,424716;5,919454;5,435122;5,723403;5,345665;5,470799;5,883267;5,803718;5,63967;-0,765468;-2,629488;1,15074;-0,094059;-0,448025;-0,011049;0,80136;0,277869;0,083915;-0,225121;0,13062
7;81;0,021916;0,431095;0,627049;0,431373;6;0,001433;0,482176;38,244728;0;1;0;47,9161;284,580902;307,377045;174,245651;207,100586;208,463623;215,570007;348,269989;206,070007;208,75;0,328638;0,083638;0;0;0;0;0;0;-3,820543;-0,841427;-0,466731;-0,840782;1,791759;-6,548223;-0,729445;3,644006;5,651018;5,728075;5,160466;5,333205;5,339765;5,373286;5,852978;5,328216;5,341137;-1,112797;-2,48126;3,869452;;;;;;;;
7;82;0,017381;0,612335;0,582734;0,37037;6,11;0,001416;0,487805;55,985161;0;1;0;47,9161;308,417999;326,175598;181,708054;212,104065;239,67131;219,559998;355,160004;226,520004;230,820007;0,247253;0,082178;1;0;0;0;0;0;-4,052395;-0,490476;-0,540024;-0,993253;1,809927;-6,55958;-0,71784;4,025087;5,731456;5,787436;5,202401;5,357077;5,479269;5,391625;5,872569;5,422833;5,441638;-1,397344;-2,498873;3,869452;-0,231852;0,350951;-0,073294;-0,152471;0,018167;-0,011358;0,381081;-0,284547
7;83;0,024211;0,419405;0,787313;0,236967;6,37;0,00144;0,489681;44,003792;0;1;0;47,9161;275,851196;575,568787;187,241165;242,165237;245,261978;231,089996;367,799988;234,729996;240,470001;0,20794;0,080645;0;1;0;0;0;0;-3,720948;-0,868918;-0,239129;-1,439834;1,851599;-6,543265;-0,714001;3,784276;5,619862;6,355359;5,232398;5,48962;5,502327;5,442807;5,907539;5,458436;5,482595;-1,570508;-2,517697;3,869452;0,331447;-0,378442;0,300895;-0,446582;0,041673;0,016315;-0,240811;-0,173164
7;84;0,022343;0,412458;0,497959;0,442623;8,77;0,001505;0,491557;39,473248;0;1;0;47,9161;297,766754;376,402954;187,768234;255,275696;267,379669;247,550003;365,410004;252,210007;243,929993;0,2375;0,07906;0;0;1;0;0;0;-3,801224;-0,885621;-0,697238;-0,815037;2,171337;-6,499222;-0,710177;3,675623;5,696311;5,93066;5,235209;5,542344;5,58867;5,511612;5,90102;5,530262;5,496881;-1,437588;-2,537548;3,869452;-0,080276;-0,016703;-0,458108;0,624797;0,319737;0,044043;-0,108653;0,132921
7;85;0,024585;0,380655;0,381148;0,483871;11,36;0,001534;0,493433;47,009041;0;1;0;47,9161;291,191467;358,644562;196,356277;268,336304;279,720276;253,550003;392,049988;277,01001;260,929993;0,225621;0,077456;0;0;0;1;0;0;-3,705627;-0,965862;-0,964567;-0,725937;2,430098;-6,479779;-0,706367;3,85034;5,673981;5,882332;5,279931;5,592241;5,63379;5,535561;5,971389;5,624053;5,564252;-1,488897;-2,558043;3,869452;0,095597;-0,080241;-0,26733;0,0891;0,258761;0,019443;0,174717;-0,051309
7;86;0,024128;0,308057;0,615385;0,483333;8,94;0,00141;0,493433;38,907627;0;1;0;47,9161;353,218201;365,49707;197,036575;290,88559;259,615387;275,950012;392,359985;331,410004;276,149994;0,329832;0,07549;0;0;0;0;1;0;-3,724378;-1,17747;-0,485507;-0,727049;2,190536;-6,563931;-0,706367;3,66119;5,867086;5,901258;5,28339;5,67293;5,559201;5,62022;5,97218;5,803356;5,620944;-1,109172;-2,58375;3,869452;-0,018751;-0,211609;0,47906;-0,001113;-0,239563;-0,084153;-0,18915;0,379725
7;87;0,026753;0,36476;0,525424;0,435484;7,14;0,00153;0,491557;42,947586;0;1;0;47,9161;375,234528;397,690125;191,172012;281,065094;256,721436;281,799988;412,149994;328,269989;299,029999;0,273622;0,073537;0;0;0;0;0;1;-3,621101;-1,008516;-0,64355;-0,831297;1,965713;-6,482527;-0,710177;3,75998;5,927551;5,985673;5,253174;5,638587;5,547992;5,641198;6,021388;5,793837;5,700544;-1,296008;-2,609963;3,869452;0,103277;0,168955;-0,158043;-0,104248;-0,224823;0,081405;0,09879;-0,186835
9;81;0,007518;0,631579;0,555556;0,383333;7,04;0,000835;0,530516;16,853212;1;0;0;1,79619;195,936142;274,725281;152,735352;209,030106;178,778503;202,039993;270,570007;234,75;223,570007;0,089172;0,079058;0;0;0;0;0;0;-4,890481;-0,459532;-0,587786;-0,958851;1,951608;-7,087708;-0,633904;2,824541;5,277789;5,615772;5,028707;5,342478;5,186148;5,308465;5,600531;5,458521;5,409725;-2,417189;-2,537573;0,585668;;;;;;;;
9;82;0,008737;0,567164;0,640351;0,356164;9,95;0,000739;0,535211;17,203657;1;0;0;1,79619;395,927612;28,857697;149,326019;235,04274;180,570602;204,660004;287,119995;270,160004;218,160004;0,369863;0,077855;1;0;0;0;0;0;-4,740206;-0,567107;-0,445739;-1,032364;2,297573;-7,210294;-0,625094;2,845122;5,981231;3,362377;5,006132;5,459767;5,196122;5,32135;5,6599;5,599014;5,385229;-0,994623;-2,552902;0,585668;0,150275;-0,107575;0,142047;-0,073513;0,345964;-0,122586;0,020581;1,422566
9;83;0,01368;0,377358;0,525;0,428571;7,16;0,00086;0,539906;17,97514;1;0;0;1,79619;216,159805;1035,50293;152,682861;255,102036;184,826614;235,729996;316,5;273,470001;243,479996;0,085324;0,076492;0;1;0;0;0;0;-4,291791;-0,974561;-0,644357;-0,847299;1,96851;-7,058113;-0,61636;2,88899;5,376018;6,942643;5,028363;5,541664;5,219418;5,462687;5,757323;5,611192;5,495035;-2,461297;-2,570569;0,585668;0,448415;-0,407454;-0,198618;0,185065;-0,329063;0,152181;0,043868;-1,466674
9;84;0,014326;0,41018;0,664234;0,395604;10,6;0,000901;0,544601;22,246586;1;0;0;1,79619;223,8806;310,559021;177,806931;261,389099;208,025146;245,880005;318,890015;291,720001;262,940002;0,084416;0,075282;0;0;1;0;0;0;-4,245665;-0,891159;-0,409121;-0,927342;2,360854;-7,012283;-0,607702;3,102189;5,411113;5,738374;5,180698;5,56601;5,337659;5,504844;5,764846;5,675795;5,571926;-2,472003;-2,586517;0,585668;0,046126;0,083402;0,235236;-0,080043;0,392344;0,04583;0,213199;-0,010706
9;85;0,013317;0,393548;0,622951;0,407895;9,23;0,000902;0,549296;25,17329;1;0;0;1,79619;256,410248;313,545166;194,708206;277,366852;216,076065;265,98999;348,600006;316,619995;296,98999;0,091549;0,073936;0;0;0;1;0;0;-4,318691;-0,932552;-0,473287;-0,896746;2,222459;-7,010741;-0,599118;3,225784;5,546779;5,747943;5,271502;5,625341;5,37563;5,583459;5,853925;5,757702;5,693698;-2,390878;-2,604549;0,585668;-0,073026;-0,041393;-0,064167;0,030596;-0,138395;0,001542;0,123595;0,081125
9;86;0,011442;0,462687;0,596774;0,445946;6,73;0,000854;0,544601;27,28459;1;0;0;1,79619;265,455414;313,545166;202,169632;298,730408;219,780212;277,149994;365,109985;337,480011;313,600006;0,063492;0,072318;0;0;0;0;1;0;-4,47049;-0,770705;-0,516217;-0,807557;1,906575;-7,065743;-0,607702;3,306322;5,581447;5,747943;5,309107;5,699542;5,392628;5,624559;5,900198;5,821507;5,748118;-2,75684;-2,626686;0,585668;-0,151799;0,161848;-0,042929;0,089188;-0,315884;-0,055003;0,080539;-0,365963
9;87;0,010623;0,518219;0,476563;0,442623;8,22;0,00086;0,546948;28,054739;1;0;0;1,79619;292,307678;377,312561;206,821487;289,312469;215,193329;290,890015;377,350006;367,230011;342,820007;0,060086;0,070698;0;0;0;0;0;1;-4,544715;-0,657357;-0,741155;-0,815037;2,10657;-7,058369;-0,603401;3,334157;5,677807;5,933074;5,331856;5,667507;5,371537;5,672945;5,933173;5,905988;5,837205;-2,811981;-2,649344;0,585668;-0,074224;0,113347;-0,224939;-0,007479;0,199995;0,007375;0,027835;-0,05514
11;81;0,018847;0,36965;0,557895;0,226415;9,93;0,001907;0,591093;22,321438;1;0;0;1,5407;199,237701;315,504822;150,583511;195,3125;176,539154;187,199997;266,619995;227,690002;209,270004;0,184332;0,106333;0;0;0;0;0;0;-3,971391;-0,995199;-0,583584;-1,485386;2,295561;-6,262371;-0,525782;3,105548;5,294498;5,754174;5,014518;5,274601;5,173542;5,232178;5,585824;5,427985;5,343625;-1,691018;-2,241175;0,432237;;;;;;;;
11;82;0,019854;0,425856;0,196429;0,363636;4,32;0,001359;0,595142;22,880707;1;0;0;1,5407;215,96051;320,512817;158,700516;205,272263;197,668182;173,320007;290,170013;247,690002;225,779999;0,276699;0,104969;1;0;0;0;0;0;-3,91937;-0,853654;-1,627454;-1,011602;1,463255;-6,601153;-0,518956;3,130294;5,375095;5,769922;5,067019;5,324337;5,28659;5,155139;5,670467;5,512178;5,419561;-1,284825;-2,254094;0,432237;0,052021;0,141545;-1,04387;0,473784;-0,832305;-0,338783;0,024746;0,406193
11;83;0,019167;0,354244;0,354167;0,323529;13,44;0,00198;0,59919;24,651804;1;0;0;1,5407;213,052261;915,750916;169,185654;177,675583;203,791168;199,880005;325,859985;239,669998;227,940002;0,115226;0,103803;0;1;0;0;0;0;-3,954576;-1,037769;-1,037987;-1,128466;2,598235;-6,224487;-0,512176;3,20485;5,361537;6,819745;5,130997;5,179959;5,317096;5,297717;5,786468;5,479263;5,429082;-2,160857;-2,265261;0,432237;-0,035206;-0,184115;0,589468;-0,116865;1,13498;0,376667;0,074556;-0,876032
11;84;0,016804;0,446429;0,21;0,380952;7,16;0,002551;0,607287;29,730967;1;0;0;1,5407;230,970078;360,576935;169,390198;241,75824;209,16095;212,339996;340,769989;257,890015;227,539993;0,051643;0,102465;0;0;1;0;0;0;-4,086126;-0,806475;-1,560648;-0,965082;1,96851;-5,971411;-0,498753;3,392189;5,442288;5,887705;5,132205;5,487938;5,343104;5,358189;5,831208;5,552533;5,427326;-2,963397;-2,278236;0,432237;-0,131551;0,231294;-0,522661;0,163385;-0,629725;0,253076;0,187339;-0,80254
11;85;0,014119;0,530806;0,455357;0,27451;7,85;0,002476;0,607287;31,623087;1;0;0;1,5407;229,831146;364,132904;181,244705;303,643738;224,26944;205,470001;365,970001;282,339996;246,759995;0,263473;0,101255;0;0;0;1;0;0;-4,260206;-0,633359;-0,786674;-1,292768;2,060513;-6,001147;-0,498753;3,453887;5,437345;5,897519;5,199848;5,715855;5,412848;5,3253;5,902551;5,643112;5,508416;-1,333804;-2,290115;0,432237;-0,174079;0,173116;0,773974;-0,327686;0,092004;-0,029736;0,061698;1,629593
11;86;0,017008;0,401544;0,211538;0,363636;13,87;0,002824;0,607287;33,686325;1;0;0;1,5407;234,283478;384,615387;183,37999;260,329193;217,804199;207,100006;367,850006;309,450012;252,699997;0,295;0,099947;0;0;0;0;1;0;-4,074066;-0,912438;-1,553351;-1,011602;2,629728;-5,869689;-0,498753;3,517092;5,456532;5,952244;5,21156;5,561947;5,383596;5,333202;5,907675;5,734797;5,532203;-1,22078;-2,303119;0,432237;0,18614;-0,279079;-0,766677;0,281166;0,569215;0,131458;0,063205;0,113024
11;87;0,014607;0,524664;0,068376;0,5;13;0,002882;0,611336;35,22974;1;0;0;1,5407;250,400635;401,337799;187,8255;258,564972;237,150742;258,600006;391,480011;325,709991;275,220001;0,319527;0,098919;0;0;0;0;0;1;-4,226275;-0,644997;-2,682732;-0,693147;2,564949;-5,84926;-0,492108;3,561891;5,523062;5,994803;5,235513;5,555147;5,468696;5,555283;5,969934;5,786007;5,617571;-1,140915;-2,313452;0,432237;-0,152209;0,267441;-1,129381;0,318455;-0,064779;0,020429;0,044799;0,079865
13;81;0,030049;0,319665;0,481675;0,5;11,77;0,001207;0,497579;20,102839;0;0;0;32,179401;192,693085;270,655273;172,928894;230,111771;182,908234;214,929993;377,75;247,949997;199,330002;0,179664;0,079339;0;0;0;0;0;0;-3,504916;-1,140482;-0,730486;-0,693147;2,465554;-6,719617;-0,698002;3,000861;5,261099;5,600846;5,152881;5,438565;5,208984;5,370312;5,934233;5,513227;5,294962;-1,716665;-2,534023;3,471327;;;;;;;;
13;82;0,036326;0,332885;0,430303;0,497653;5,32;0,001344;0,504843;22,522884;0;0;0;32,179401;205,612;286,41571;172,46431;241,069473;198,321304;221,539993;381,690002;272,440002;209,869995;0,13772;0,077981;1;0;0;0;0;0;-3,315224;-1,099958;-0,843266;-0,697852;1,671473;-6,61241;-0,683509;3,114532;5,325991;5,657444;5,15019;5,485085;5,289888;5,400603;5,944609;5,607419;5,346488;-1,982533;-2,551286;3,471327;0,189692;0,040524;-0,11278;-0,004705;-0,794081;0,107207;0,113671;-0,265868
13;83;0,032527;0,326021;0,491879;0,485849;6,97;0,001476;0,509685;24,681601;0;0;0;32,179401;193,274063;1268,216187;178,423126;241,75824;208,483109;240,259995;389,799988;273,799988;216,399994;0,12415;0,076545;0;1;0;0;0;0;-3,425682;-1,120794;-0,709523;-0,721857;1,941615;-6,518237;-0,673962;3,206058;5,264109;7,145367;5,184158;5,487938;5,339858;5,481722;5,965634;5,612398;5,377129;-2,086267;-2,569878;3,471327;-0,110457;-0,020835;0,133743;-0,024005;0,270142;0,094173;0,091526;-0,103735
13;84;0,030127;0,302176;0,522667;0,423469;8,89;0,001214;0,514528;27,702269;0;0;0;32,179401;240,384613;320,512817;184,94577;275,453979;223,85022;262,75;392,410004;294,950012;220;0,15873;0,075188;0;0;1;0;0;0;-3,502327;-1,196746;-0,648811;-0,859275;2,184927;-6,713974;-0,664506;3,321514;5,48224;5,769922;5,220063;5,618421;5,410977;5,571203;5,972307;5,686806;5,393628;-1,84055;-2,587769;3,471327;-0,076645;-0,075952;0,060712;-0,137417;0,243312;-0,195738;0,115456;0,245718
13;85;0,034979;0,298962;0,381944;0,454545;7,32;0,001356;0,524213;29,297892;0;0;0;32,179401;246,30542;331,247711;192,812149;280,059753;231,760956;270,01001;427,700012;324,809998;244,130005;0,098024;0,0738;0;0;0;1;0;0;-3,353019;-1,207439;-0,962481;-0,788458;1,99061;-6,603533;-0,645857;3,377516;5,506572;5,802866;5,261716;5,635003;5,445706;5,598459;6,058422;5,78324;5,497701;-2,32254;-2,60639;3,471327;0,149308;-0,010693;-0,313671;0,070817;-0,194317;0,110441;0,056001;-0,48199
13;86;0,033536;0,309206;0,522727;0,430435;10,8;0,001273;0,516949;29,72961;0;0;0;32,179401;244,31105;359,49411;280,417389;288,461548;243,398392;287,420013;439,480011;349,720001;260,269989;0,13749;0,072228;0;0;0;0;1;0;-3,395136;-1,173748;-0,648696;-0,842959;2,379546;-6,666677;-0,659811;3,392143;5,498442;5,884698;5,636279;5,664562;5,494699;5,660944;6,085592;5,857133;5,561719;-1,984204;-2,627927;3,471327;-0,042117;0,033691;0,313785;-0,054501;0,388936;-0,063144;0,014628;0,338336
13;87;0,029641;0,365004;0,520607;0,420833;10,55;0,001338;0,516949;30,696487;0;0;0;32,179401;238,306366;366,300354;205,535767;310,173706;259,33905;303,420013;449,839996;350,720001;283,76001;0,152372;0,070733;0;0;0;0;0;1;-3,5186;-1,007847;-0,65276;-0,865519;2,356126;-6,616796;-0,659811;3,424148;5,473557;5,903454;5,32562;5,737133;5,558136;5,715118;6,108892;5,859988;5,648129;-1,881429;-2,648837;3,471327;-0,123464;0,165901;-0,004064;-0,02256;-0,02342;0,049881;0,032005;0,102775
15;81;0,016805;0,453258;0,575;0,48913;8,83;0,000952;0,300999;21,631237;0;0;0;61,054001;192,307693;151,821869;164,621368;253,59256;169,683258;183,169998;320;253,389999;191,009995;0,24735;0,090543;0;0;0;0;0;0;-4,086049;-0,791294;-0,553385;-0,715127;2,178155;-6,956788;-1,20065;3,074138;5,259097;5,022708;5,103648;5,535729;5,133934;5,210415;5,768321;5,53493;5,252326;-1,396952;-2,401933;4,111759;;;;;;;;
